run,type,module,name,attrname,attrvalue,vectime,vecvalue
bothTestSameTim-1100-20221223-16:37:17-16088,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034753247442 0.069426343226 0.104311454974 0.138624550758 0.173270646542 0.207970742326 0.242414854074 0.277132949858 0.311824045642 0.346065141426 0.380968253174 0.415659348958 0.449954444742 0.484618540526 0.519404652274 0.553744748058 0.588462843842 0.623126939626 0.657571051374 0.692235147158 0.726908242942 0.761203338726 0.796079450474 0.830734546258 0.865074642042 0.899774737826 0.934560849574 0.968810945358 1","34529147.297751 34608966.198909 34398628.52292 34972070.3592 34635937.263505 34582037.10646 34839046.185294 34564107.647662 34591008.813087 35045607.406079 34380888.691644 34591008.813087 34990425.673628 34617951.885359 34496525.759853 34944573.467355 34564107.647662 34617951.885359 34839046.185294 34617951.885359 34608966.198909 34990425.673628 34407505.30537 34626942.239012 34944573.467355 34582037.10646 34496525.759853 35036398.367113 34627532.395472"
bothTestSameTim-1101-20221223-16:37:17-5372,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034559183586 0.069390295334 0.104117391118 0.138421486902 0.173139582686 0.207943694434 0.242283790218 0.276983886002 0.311638981786 0.346092093534 0.380810189318 0.415438285102 0.449706380886 0.484537492634 0.519255588418 0.553550684202 0.588259779986 0.623036891734 0.657358987518 0.692023083302 0.726759179086 0.761194290834 0.795957386618 0.830729482402 0.865015578186 0.899837689934 0.934564785718 0.968895881502 1","34723042.48779 34451958.027694 34555149.888258 34981245.60857 34564107.647662 34478684.837258 34944573.467355 34582037.10646 34626942.239012 34829945.369729 34564107.647662 34653941.339577 35017994.800875 34451958.027694 34564107.647662 34990425.673628 34573070.052524 34505453.146753 34962899.921729 34617951.885359 34546196.770702 34848151.758058 34519365.233067 34510430.646868 34999610.558167 34460862.359071 34555149.888258 34953734.292375 34336288.940922"
bothTestSameTim-1110-20221223-16:37:20-13084,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034559183586 0.069426295334 0.104090391118 0.138412486902 0.173121582686 0.208006694434 0.242229790218 0.276893886002 0.311584981786 0.346038093534 0.380738189318 0.415492285102 0.449859380886 0.484627492634 0.519336588418 0.553685684202 0.588403779986 0.623234891734 0.657538987518 0.692230083302 0.726912179086 0.761410290834 0.796146386618 0.830837482402 0.865231578186 0.899972689934 0.934699785718 0.969030881502 1","34723042.48779 34416386.670423 34617951.885359 34962899.921729 34573070.052524 34398628.52292 35064040.014785 34617951.885359 34591008.813087 34829945.369729 34582037.10646 34528304.446708 34917119.780563 34514385.155502 34573070.052524 34935417.442894 34564107.647662 34451958.027694 34981245.60857 34591008.813087 34599985.176028 34784512.519575 34546196.770702 34591008.813087 34889709.197072 34541208.948763 34555149.888258 34953734.292375 34485967.047108"
bothTestSameTim-1111-20221223-16:37:20-8432,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034622183586 0.069444295334 0.104126391118 0.138385486902 0.173148582686 0.207925694434 0.242229790218 0.276884886002 0.311593981786 0.345966093534 0.380639189318 0.415258285102 0.449526380886 0.484312492634 0.519030588418 0.553226684202 0.587908779986 0.622703891734 0.656980987518 0.691699083302 0.726336179086 0.760708290834 0.795408386618 0.830036482402 0.864313578186 0.899180689934 0.933925785718 0.968256881502 1","34659858.960636 34460862.359071 34599985.176028 35027194.166649 34519365.233067 34505453.146753 34981245.60857 34626942.239012 34573070.052524 34912024.282879 34608966.198909 34662950.398451 35017994.800875 34496525.759853 34564107.647662 35091725.312147 34599985.176028 34487602.991215 35008800.265982 34564107.647662 34644936.962478 34912024.282879 34582037.10646 34653941.339577 35008800.265982 34416386.670423 34537248.291386 34953734.292375 34401156.901733"
bothTestSameTim-1112-20221223-16:37:20-5772,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034789247442 0.069534343226 0.104356454974 0.138651550758 0.173360646542 0.208087742326 0.242612854074 0.277285949858 0.311959045642 0.346263141426 0.381067253174 0.415776348958 0.450062444742 0.484672540526 0.519548652274 0.553807748058 0.588489843842 0.623090939626 0.657508051374 0.692109147158 0.726764242942 0.761059338726 0.795890450474 0.830581546258 0.864849642042 0.899486737826 0.934218849574 0.968423945358 1","34493416.450029 34537248.291386 34460862.359071 34990425.673628 34573070.052524 34555149.888258 34757309.657934 34608966.198909 34608966.198909 34981245.60857 34478684.837258 34573070.052524 34999610.558167 34671964.14275 34407505.30537 35027194.166649 34599985.176028 34680982.576133 34866377.190112 34680982.576133 34626942.239012 34990425.673628 34451958.027694 34591008.813087 35017994.800875 34644936.962478 34550159.480847 35082492.023347 34203133.109716"
bothTestSameTim-1113-20221223-16:37:20-13676,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034771247442 0.069462343226 0.104293454974 0.138606550758 0.173297646542 0.208033742326 0.242522854074 0.277213949858 0.311914045642 0.346272141426 0.381184253174 0.415866348958 0.450224444742 0.484861540526 0.519755652274 0.554032748058 0.588732843842 0.623432939626 0.657868051374 0.692541147158 0.727205242942 0.761545338726 0.796430450474 0.831166546258 0.865479642042 0.900179737826 0.935037849574 0.969314945358 1","34511272.625512 34591008.813087 34451958.027694 34972070.3592 34591008.813087 34546196.770702 34793589.604974 34591008.813087 34582037.10646 34926266.21522 34372025.635738 34599985.176028 34926266.21522 34644936.962478 34389756.319525 35008800.265982 34582037.10646 34582037.10646 34848151.758058 34608966.198909 34617951.885359 34944573.467355 34398628.52292 34546196.770702 34972070.3592 34582037.10646 34425272.621626 35008800.265982 34414147.614214"
bothTestSameTim-1114-20221223-16:37:20-16380,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034604183586 0.069426295334 0.104117391118 0.138421486902 0.173076582686 0.207916694434 0.242202790218 0.276938886002 0.311701981786 0.346146093534 0.380873189318 0.415573285102 0.449868380886 0.484744492634 0.519426588418 0.553784684202 0.588556779986 0.623360891734 0.657646987518 0.692338083302 0.727020179086 0.761428290834 0.796056386618 0.830738482402 0.865006578186 0.899810689934 0.934555785718 0.968841881502 1","34677887.921202 34460862.359071 34591008.813087 34981245.60857 34626942.239012 34443058.296703 34999610.558167 34546196.770702 34519365.233067 34839046.185294 34555149.888258 34582037.10646 34990425.673628 34407505.30537 34599985.176028 34926266.21522 34510430.646868 34478684.837258 34999610.558167 34591008.813087 34599985.176028 34875497.056875 34653941.339577 34599985.176028 35017994.800875 34478684.837258 34537248.291386 34999610.558167 34276780.867515"
bothTestSameTim-1115-20221223-16:37:20-16260,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034771247442 0.069471343226 0.104284454974 0.138552550758 0.173288646542 0.207970742326 0.242360854074 0.277087949858 0.311887045642 0.346227141426 0.380995253174 0.415749348958 0.450134444742 0.484816540526 0.519629652274 0.553870748058 0.588588843842 0.623252939626 0.657634051374 0.692334147158 0.726989242942 0.761383338726 0.796196450474 0.830815546258 0.865065642042 0.899792737826 0.934686849574 0.968927945358 1","34511272.625512 34582037.10646 34469771.294401 35017994.800875 34546196.770702 34599985.176028 34893751.110587 34555149.888258 34483654.617018 34944573.467355 34514385.155502 34528304.446708 34898841.275248 34599985.176028 34469771.294401 35045607.406079 34564107.647662 34617951.885359 34902885.305034 34582037.10646 34626942.239012 34889709.197072 34469771.294401 34662950.398451 35036398.367113 34555149.888258 34389756.319525 35045607.406079 34757920.338495"
bothTestSameTim-1116-20221223-16:37:20-14824,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.035316311298 0.069665407082 0.104392502866 0.139187614614 0.173446710398 0.208155806182 0.242891901966 0.277237013714 0.311937109498 0.346637205282 0.380887301066 0.415718412814 0.450463508598 0.484830604382 0.519530700166 0.554334811914 0.588629907698 0.623321003482 0.658030099266 0.692474211014 0.727129306798 0.761829402582 0.796097498366 0.830901610114 0.865664705898 0.899887801682 0.934605897466 0.969482009214 1","33978633.551912 34935417.442894 34555149.888258 34487602.991215 35027194.166649 34573070.052524 34546196.770702 34939469.954407 34582037.10646 34582037.10646 35036398.367113 34451958.027694 34537248.291386 34917119.780563 34582037.10646 34478684.837258 34990425.673628 34591008.813087 34573070.052524 34839046.185294 34626942.239012 34582037.10646 35017994.800875 34478684.837258 34519365.233067 35064040.014785 34564107.647662 34407505.30537 34995750.784811"
bothTestSameTim-1117-20221223-16:37:20-7656,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034550183586 0.069453295334 0.104162391118 0.138502486902 0.173184582686 0.207979694434 0.242328790218 0.277019886002 0.311728981786 0.346173093534 0.380882189318 0.415636285102 0.449913380886 0.484744492634 0.519363588418 0.553712684202 0.588502779986 0.623387891734 0.657700987518 0.692356083302 0.727047179086 0.761509290834 0.796101386618 0.830783482402 0.865105578186 0.899963689934 0.934672785718 0.968940881502 1","34732087.515918 34380888.691644 34573070.052524 34944573.467355 34599985.176028 34487602.991215 34935417.442894 34591008.813087 34573070.052524 34839046.185294 34573070.052524 34528304.446708 35008800.265982 34451958.027694 34662950.398451 34935417.442894 34492575.342431 34398628.52292 34972070.3592 34626942.239012 34591008.813087 34820849.307635 34690005.702258 34599985.176028 34962899.921729 34425272.621626 34573070.052524 35017994.800875 34386037.068913"
bothTestSameTim-1118-20221223-16:37:21-5300,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034568183586 0.069489295334 0.104171391118 0.138493486902 0.173193582686 0.208033694434 0.242391790218 0.277091886002 0.311746981786 0.346128093534 0.380792189318 0.415537285102 0.449850380886 0.484600492634 0.519282588418 0.553631684202 0.588286779986 0.623180891734 0.657475987518 0.692176083302 0.726840179086 0.761275290834 0.795921386618 0.830612482402 0.864943578186 0.899747689934 0.934420785718 0.968733881502 1","34714002.169498 34363167.148272 34599985.176028 34962899.921729 34582037.10646 34443058.296703 34926266.21522 34582037.10646 34626942.239012 34902885.305034 34617951.885359 34537248.291386 34972070.3592 34532263.052911 34599985.176028 34935417.442894 34626942.239012 34389756.319525 34990425.673628 34582037.10646 34617951.885359 34848151.758058 34635937.263505 34591008.813087 34953734.292375 34478684.837258 34608966.198909 34972070.3592 34542183.42034"
bothTestSameTim-1119-20221223-16:37:21-2384,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034717247442 0.069408343226 0.104311454974 0.138561550758 0.173297646542 0.208024742326 0.242441854074 0.277159949858 0.311833045642 0.346137141426 0.380959253174 0.415704348958 0.450017444742 0.484690540526 0.519602652274 0.553987748058 0.588678843842 0.623333939626 0.657742051374 0.692442147158 0.727079242942 0.761365338726 0.796214450474 0.830851546258 0.865164642042 0.899864737826 0.934722849574 0.969053945358 1","34564952.247576 34591008.813087 34380888.691644 35036398.367113 34546196.770702 34555149.888258 34866377.190112 34564107.647662 34608966.198909 34981245.60857 34460862.359071 34537248.291386 34972070.3592 34608966.198909 34372025.635738 34898841.275248 34591008.813087 34626942.239012 34875497.056875 34582037.10646 34644936.962478 34999610.558167 34434163.162534 34644936.962478 34972070.3592 34582037.10646 34425272.621626 34953734.292375 34511669.172538"
bothTestSameTim-1102-20221223-16:37:17-11144,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034631183586 0.069534295334 0.104288391118 0.138592486902 0.173319582686 0.208204694434 0.242517790218 0.277127886002 0.311845981786 0.346290093534 0.380972189318 0.415654285102 0.449967380886 0.484870492634 0.519444588418 0.553739684202 0.588448779986 0.623279891734 0.657619987518 0.692374083302 0.727038179086 0.761527290834 0.796254386618 0.830954482402 0.865294578186 0.900134689934 0.934807785718 0.969048881502 1","34650851.50844 34380888.691644 34528304.446708 34981245.60857 34555149.888258 34398628.52292 34972070.3592 34671964.14275 34564107.647662 34839046.185294 34599985.176028 34599985.176028 34972070.3592 34380888.691644 34708066.047394 34990425.673628 34573070.052524 34451958.027694 34944573.467355 34528304.446708 34617951.885359 34793589.604974 34555149.888258 34582037.10646 34944573.467355 34443058.296703 34608966.198909 35045607.406079 34506022.781342"
bothTestSameTim-1120-20221223-16:37:21-7696,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034550183586 0.069336295334 0.104000391118 0.138358486902 0.173013582686 0.207763694434 0.242085790218 0.276758886002 0.311458981786 0.345930093534 0.380594189318 0.415267285102 0.449508380886 0.484384492634 0.518994588418 0.553352684202 0.588025779986 0.622892891734 0.657187987518 0.691888083302 0.726543179086 0.761023290834 0.795732386618 0.830432482402 0.864709578186 0.899477689934 0.934141785718 0.968400881502 1","34732087.515918 34496525.759853 34617951.885359 34926266.21522 34626942.239012 34532263.052911 34962899.921729 34608966.198909 34582037.10646 34811757.995291 34617951.885359 34608966.198909 35045607.406079 34407505.30537 34671964.14275 34926266.21522 34608966.198909 34416386.670423 34990425.673628 34582037.10646 34626942.239012 34802671.428975 34573070.052524 34582037.10646 35008800.265982 34514385.155502 34617951.885359 35027194.166649 34557926.040535"
bothTestSameTim-1121-20221223-16:37:21-5480,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.03538835919 0.069823470938 0.104523566722 0.139169662506 0.17342875829 0.208232870038 0.242869965822 0.277210061606 0.31188315739 0.346795269138 0.381054364922 0.415817460706 0.45052655649 0.484970668238 0.519688764022 0.554451859806 0.58871095559 0.623533067338 0.658224163122 0.692528258906 0.72722835469 0.762077466438 0.796372562222 0.831099658006 0.86584475379 0.900297865538 0.935015961322 0.969761057106 1","33909455.74948 34848151.758058 34582037.10646 34635937.263505 35027194.166649 34478684.837258 34644936.962478 34944573.467355 34608966.198909 34372025.635738 35027194.166649 34519365.233067 34573070.052524 34839046.185294 34564107.647662 34519365.233067 35027194.166649 34460862.359071 34591008.813087 34981245.60857 34582037.10646 34434163.162534 34990425.673628 34555149.888258 34537248.291386 34829945.369729 34564107.647662 34537248.291386 34525016.422024"
bothTestSameTim-1122-20221223-16:37:22-5152,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034604183586 0.069444295334 0.104144391118 0.138385486902 0.173103582686 0.207979694434 0.242319790218 0.276983886002 0.311656981786 0.346128093534 0.380711189318 0.415384285102 0.449670380886 0.484465492634 0.519129588418 0.553424684202 0.588106779986 0.622883891734 0.657214987518 0.691951083302 0.726624179086 0.761131290834 0.795930386618 0.830576482402 0.864880578186 0.899648689934 0.934402785718 0.968688881502 1","34677887.921202 34443058.296703 34582037.10646 35045607.406079 34564107.647662 34407505.30537 34944573.467355 34617951.885359 34608966.198909 34811757.995291 34699033.524789 34608966.198909 34999610.558167 34487602.991215 34617951.885359 34990425.673628 34599985.176028 34505453.146753 34953734.292375 34546196.770702 34608966.198909 34775440.16907 34483654.617018 34635937.263505 34981245.60857 34514385.155502 34528304.446708 34999610.558167 34492539.768868"
bothTestSameTim-1123-20221223-16:37:23-8140,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.035208311298 0.069530407082 0.104248502866 0.139106614614 0.173419710398 0.208146806182 0.242891901966 0.277327013714 0.312099109498 0.346718205282 0.380977301066 0.415799412814 0.450526508598 0.484884604382 0.519602700166 0.554469811914 0.588719907698 0.623393003482 0.658093099266 0.692519211014 0.727237306798 0.761919402582 0.796187498366 0.831054610114 0.865799705898 0.900076801682 0.934731897466 0.969626009214 1","34082861.567637 34962899.921729 34564107.647662 34425272.621626 34972070.3592 34555149.888258 34537248.291386 34848151.758058 34510430.646868 34662950.398451 35027194.166649 34460862.359071 34555149.888258 34926266.21522 34564107.647662 34416386.670423 35036398.367113 34608966.198909 34582037.10646 34857262.091753 34564107.647662 34599985.176028 35017994.800875 34416386.670423 34537248.291386 35008800.265982 34626942.239012 34389756.319525 34766587.22392"
bothTestSameTim-1124-20221223-16:37:23-1756,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.034532183586 0.069417295334 0.104135391118 0.138376486902 0.173112582686 0.207961694434 0.242274790218 0.276965886002 0.311629981786 0.346128093534 0.380837189318 0.415546285102 0.449841380886 0.484708492634 0.519408588418 0.553658684202 0.588349779986 0.623162891734 0.657439987518 0.692122083302 0.726903179086 0.761284290834 0.796038386618 0.830684482402 0.864988578186 0.899846689934 0.934528785718 0.968868881502 1","34750191.716417 34398628.52292 34564107.647662 35045607.406079 34546196.770702 34434163.162534 34972070.3592 34591008.813087 34617951.885359 34784512.519575 34573070.052524 34573070.052524 34990425.673628 34416386.670423 34582037.10646 35036398.367113 34591008.813087 34469771.294401 35008800.265982 34599985.176028 34501500.684519 34902885.305034 34528304.446708 34635937.263505 34981245.60857 34425272.621626 34599985.176028 34944573.467355 34306509.09856"
