run,type,module,name,attrname,attrvalue,vectime,vecvalue
bothTestSameTim-600-20221223-16:33:53-2076,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012126311298 0.02391343901 0.035736566722 0.04735667847 0.059161806182 0.070741933894 0.082574061606 0.094248173354 0.10619331703 0.117669428778 0.12944755649 0.141216684202 0.153021811914 0.164488923662 0.176416067338 0.188099179086 0.199868306798 0.21167343451 0.223262562222 0.23493667397 0.246890817646 0.258519929394 0.270127057106 0.281869184818 0.29365631253 0.305312424278 0.31710855199 0.328670679702 0.34036279145 0.352289935126 0.363946046874 0.375499174586 0.387313302298 0.39912743001 0.410810541758 0.422530685434 0.434204797182 0.446009924894 0.457824052606 0.469602180318 0.481051292066 0.493032435742 0.50468854749 0.516475675202 0.528064802914 0.539842930626 0.551481042374 0.56343518605 0.574857297798 0.58668042551 0.598458553222 0.61012366497 0.621901792682 0.633436920394 0.645215048106 0.656898159854 0.66882530353 0.680292415278 0.69212454299 0.703902670702 0.715671798414 0.727129910162 0.739066053838 0.750713165586 0.762563293298 0.77432342101 0.785894548722 0.79755966047 0.809504804146 0.821142915894 0.832714043606 0.844465171318 0.85630629903 0.867980410778 0.87974053849 0.891320666202 0.90294977795 0.914939921626 0.926605033374 0.938185161086 0.950044288798 0.96179541651 0.973460528258 0.985180671934 0.996881783682 1","19791673.997317 20361194.505059 20299197.11993 20653846.125129 20330148.546893 20725160.030083 20283756.72083 20558309.28988 20091847.072732 20913006.536541 20376753.068782 20392335.428164 20330148.546893 20929420.177828 20122168.938313 20542472.346127 20392335.428164 20330148.546893 20709065.079289 20558309.28988 20076720.382895 20637861.70438 20676950.056462 20439225.827422 20361194.505059 20590056.546187 20345659.682529 20757425.101862 20526659.783341 20122168.938313 20590056.546187 20773595.339963 20314661.044016 20314661.044016 20542472.346127 20477564.664285 20558309.28988 20330148.546893 20314661.044016 20376753.068782 20962324.87572 20031476.667854 20590056.546187 20361194.505059 20709065.079289 20376753.068782 20621902.005817 20076720.382895 21011876.37584 20299197.11993 20376753.068782 20574170.671031 20376753.068782 20806011.514751 20376753.068782 20542472.346127 20122168.938313 20929420.177828 20283756.72083 20376753.068782 20392335.428164 20945859.603952 20106996.573991 20605966.97213 20252946.283183 20407941.637837 20741280.018118 20574170.671031 20091847.072732 20621902.005817 20741280.018118 20423571.7526 20268339.793074 20558309.28988 20407941.637837 20725160.030083 20637861.70438 20016440.710414 20574170.671031 20725160.030083 20237576.137843 20423571.7526 20574170.671031 20477564.664285 20510871.545263 20011440.39937"
bothTestSameTim-601-20221223-16:33:54-13840,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.013338790218 0.02513491793 0.036949045642 0.048565173354 0.060230285102 0.072193428778 0.083804540526 0.095375668238 0.10719879595 0.119003923662 0.13063303541 0.142402163122 0.154000290834 0.165656402582 0.177583546258 0.189284658006 0.200891785718 0.21269691343 0.224466041142 0.23618515289 0.247869296566 0.259507408314 0.271312536026 0.283063663738 0.29486879145 0.306335903198 0.318254046874 0.329856158622 0.341643286334 0.353187414046 0.364947541758 0.376612653506 0.388557797182 0.40004290893 0.411866036642 0.423680164354 0.435354276102 0.447159403814 0.458748531526 0.470562659238 0.482200770986 0.494136914662 0.50555902641 0.517310154122 0.529142281834 0.540920409546 0.552378521294 0.56430566497 0.575997776718 0.58777590443 0.599545032142 0.611143159854 0.622871271602 0.634861415278 0.646517527026 0.658052654738 0.66980378245 0.681581910162 0.69323802191 0.705070149622 0.716650277334 0.728351389082 0.740287532758 0.751916644506 0.763532772218 0.77531989993 0.787143027642 0.79879013939 0.810474283066 0.822121394814 0.833953522526 0.845731650238 0.85749177795 0.868922889698 0.880895033374 0.892596145122 0.904365272834 0.915945400546 0.927714528258 0.939370640006 0.951297783682 0.96273789543 0.974588023142 0.986384150854 0.998067262602 1","17992636.219448 20345659.682529 20314661.044016 20660929.868399 20574170.671031 20061616.452996 20669855.325554 20741280.018118 20299197.11993 20330148.546893 20637861.70438 20392335.428164 20692995.10745 20590056.546187 20122168.938313 20510871.545263 20676950.056462 20330148.546893 20392335.428164 20479367.819063 20540658.062343 20621902.005817 20330148.546893 20423571.7526 20330148.546893 20929420.177828 20137364.217491 20685889.36332 20361194.505059 20789790.791254 20407941.637837 20574170.671031 20091847.072732 20896618.619474 20299197.11993 20314661.044016 20558309.28988 20330148.546893 20709065.079289 20314661.044016 20621902.005817 20106996.573991 21011876.37584 20423571.7526 20283756.72083 20376753.068782 20945859.603952 20122168.938313 20526659.783341 20376753.068782 20392335.428164 20692995.10745 20463652.219286 20016440.710414 20590056.546187 20806011.514751 20423571.7526 20376753.068782 20590056.546187 20283756.72083 20725160.030083 20510871.545263 20106996.573991 20637861.70438 20660929.868399 20361194.505059 20299197.11993 20605966.97213 20540658.062343 20605966.97213 20283756.72083 20376753.068782 20407941.637837 20995333.200377 20046535.231708 20510871.545263 20392335.428164 20725160.030083 20392335.428164 20590056.546187 20122168.938313 20978816.054131 20252946.283183 20345659.682529 20542472.346127 21109955.259426"
bothTestSameTim-610-20221223-16:33:55-8944,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012126311298 0.02391343901 0.035736566722 0.04742867847 0.059242806182 0.070813933894 0.082646061606 0.094284173354 0.10622931703 0.117687428778 0.12942955649 0.141270684202 0.153084811914 0.164524923662 0.176434067338 0.188072179086 0.199895306798 0.21168243451 0.223271562222 0.23495467397 0.246881817646 0.258519929394 0.270127057106 0.281959184818 0.29373731253 0.305402424278 0.31719855199 0.328823679702 0.34049779145 0.352460935126 0.364126046874 0.375787174586 0.387601302298 0.39939743001 0.411071541758 0.422800685434 0.434465797182 0.446252924894 0.458067052606 0.469863180318 0.481303292066 0.493221435742 0.50488654749 0.516664675202 0.528271802914 0.540094930626 0.551787042374 0.56373218605 0.575154297798 0.58692342551 0.598755553222 0.61044766497 0.622225792682 0.633814920394 0.645575048106 0.657213159854 0.66914030353 0.680571415278 0.69242154299 0.704244670702 0.716040798414 0.727516910162 0.739453053838 0.751118165586 0.762914293298 0.77469242101 0.786245548722 0.79789266047 0.809828804146 0.821520915894 0.833101043606 0.844906171318 0.85672029903 0.868376410778 0.88015453849 0.891752666202 0.90343577795 0.915371921626 0.927010033374 0.938635161086 0.950476288798 0.96233541651 0.973937528258 0.985675671934 0.997331783682 1","19791673.997317 20361194.505059 20299197.11993 20526659.783341 20314661.044016 20741280.018118 20283756.72083 20621902.005817 20091847.072732 20945859.603952 20439225.827422 20268339.793074 20314661.044016 20978816.054131 20152582.463478 20621902.005817 20299197.11993 20361194.505059 20709065.079289 20542472.346127 20122168.938313 20621902.005817 20676950.056462 20283756.72083 20376753.068782 20574170.671031 20345659.682529 20644934.485516 20558309.28988 20061616.452996 20574170.671031 20581199.857114 20314661.044016 20345659.682529 20558309.28988 20461851.830759 20574170.671031 20361194.505059 20314661.044016 20345659.682529 20978816.054131 20137364.217491 20574170.671031 20376753.068782 20676950.056462 20299197.11993 20526659.783341 20091847.072732 21011876.37584 20392335.428164 20283756.72083 20526659.783341 20376753.068782 20709065.079289 20407941.637837 20621902.005817 20122168.938313 20995333.200377 20252946.283183 20299197.11993 20345659.682529 20913006.536541 20106996.573991 20574170.671031 20345659.682529 20376753.068782 20773595.339963 20605966.97213 20106996.573991 20526659.783341 20725160.030083 20330148.546893 20314661.044016 20590056.546187 20376753.068782 20692995.10745 20542472.346127 20106996.573991 20621902.005817 20644934.485516 20268339.793074 20237576.137843 20685889.36332 20446163.092271 20590056.546187 18889023.22499"
bothTestSameTim-611-20221223-16:33:55-3376,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012713470938 0.02433859865 0.036080726362 0.047876854074 0.059505965822 0.071320093534 0.082909221246 0.094565332994 0.10649247667 0.118166588418 0.12976471613 0.141542843842 0.153347971554 0.165022083302 0.176742226978 0.188407338726 0.200239466438 0.21204459415 0.223858721862 0.23527183361 0.247207977286 0.258855089034 0.270651216746 0.282204344458 0.29402747217 0.305692583918 0.317628727594 0.329122839342 0.340936967054 0.352715094766 0.364398206514 0.376149334226 0.387783461938 0.39957058965 0.411226701398 0.423162845074 0.434602956822 0.446444084534 0.458222212246 0.470027339958 0.481449451706 0.493367595382 0.50499670713 0.516765834842 0.528534962554 0.540079090266 0.551753202014 0.56367134569 0.575336457438 0.58690758515 0.598694712862 0.610472840574 0.622083952322 0.633889080034 0.645523207746 0.657188319494 0.66913346317 0.680762574918 0.69238770263 0.704138830342 0.715979958054 0.727654069802 0.739347213478 0.751021325226 0.762844452938 0.77467658065 0.786481708362 0.79790382011 0.809839963786 0.821496075534 0.833265203246 0.844845330958 0.85669545867 0.868387570418 0.880332714094 0.891781825842 0.903595953554 0.915365081266 0.927012193014 0.938808320726 0.950379448438 0.96218457615 0.973831687898 0.985749831574 0.997234943322 1","18877614.238504 20644934.485516 20439225.827422 20345659.682529 20637861.70438 20314661.044016 20709065.079289 20590056.546187 20122168.938313 20558309.28988 20692995.10745 20376753.068782 20330148.546893 20558309.28988 20477564.664285 20574170.671031 20283756.72083 20330148.546893 20314661.044016 21028445.642097 20106996.573991 20605966.97213 20345659.682529 20773595.339963 20299197.11993 20574170.671031 20106996.573991 20880256.366201 20314661.044016 20376753.068782 20542472.346127 20423571.7526 20628963.850247 20361194.505059 20590056.546187 20106996.573991 20978816.054131 20268339.793074 20376753.068782 20330148.546893 21011876.37584 20137364.217491 20637861.70438 20392335.428164 20392335.428164 20789790.791254 20558309.28988 20137364.217491 20574170.671031 20741280.018118 20361194.505059 20376753.068782 20669855.325554 20330148.546893 20628963.850247 20574170.671031 20091847.072732 20637861.70438 20644934.485516 20423571.7526 20268339.793074 20558309.28988 20524848.291448 20558309.28988 20299197.11993 20283756.72083 20330148.546893 21011876.37584 20106996.573991 20590056.546187 20392335.428164 20725160.030083 20252946.283183 20526659.783341 20091847.072732 20962324.87572 20314661.044016 20392335.428164 20605966.97213 20345659.682529 20741280.018118 20330148.546893 20605966.97213 20137364.217491 20896618.619474 19095449.442357"
bothTestSameTim-612-20221223-16:34:00-15928,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012704470938 0.02430259865 0.036098726362 0.047894854074 0.059550965822 0.071365093534 0.082936221246 0.094583332994 0.10659147667 0.118211588418 0.12980971613 0.141641843842 0.153464971554 0.165130083302 0.176823226978 0.188470338726 0.200257466438 0.21207159415 0.223921721862 0.23539783361 0.247396977286 0.259071089034 0.270858216746 0.282456344458 0.29431547217 0.306025583918 0.317979727594 0.329410839342 0.341197967054 0.352967094766 0.364659206514 0.376482334226 0.388026461938 0.39985858965 0.411523701398 0.423450845074 0.434881956822 0.446687084534 0.458438212246 0.470243339958 0.481719451706 0.493646595382 0.50529370713 0.517116834842 0.528912962554 0.540511090266 0.552230202014 0.56416634569 0.575804457438 0.58738458515 0.599198712862 0.610994840574 0.622614952322 0.634411080034 0.646018207746 0.657701319494 0.66961946317 0.681329574918 0.69293670263 0.704750830342 0.716537958054 0.728194069802 0.739950213478 0.751660325226 0.763501452938 0.77530658065 0.787111708362 0.79857882011 0.810514963786 0.822162075534 0.833958203246 0.845601330958 0.85739745867 0.869107570418 0.881052714094 0.892519825842 0.904342953554 0.916148081266 0.927804193014 0.939573320726 0.951189448438 0.96300357615 0.974650687898 0.986550831574 0.998008943322 1","18890987.367458 20692995.10745 20345659.682529 20345659.682529 20590056.546187 20314661.044016 20741280.018118 20605966.97213 19986436.411456 20653846.125129 20692995.10745 20283756.72083 20299197.11993 20574170.671031 20524848.291448 20605966.97213 20361194.505059 20314661.044016 20252946.283183 20913006.536541 20001427.30852 20558309.28988 20361194.505059 20692995.10745 20237576.137843 20495107.575809 20076720.382895 20995333.200377 20361194.505059 20392335.428164 20526659.783341 20299197.11993 20789790.791254 20283756.72083 20574170.671031 20122168.938313 20995333.200377 20330148.546893 20423571.7526 20330148.546893 20913006.536541 20122168.938313 20605966.97213 20299197.11993 20345659.682529 20692995.10745 20479367.819063 20106996.573991 20621902.005817 20725160.030083 20314661.044016 20345659.682529 20653846.125129 20345659.682529 20676950.056462 20542472.346127 20137364.217491 20495107.575809 20676950.056462 20314661.044016 20361194.505059 20590056.546187 20414857.67905 20495107.575809 20268339.793074 20330148.546893 20330148.546893 20929420.177828 20106996.573991 20605966.97213 20345659.682529 20613017.905201 20345659.682529 20495107.575809 20091847.072732 20929420.177828 20299197.11993 20330148.546893 20590056.546187 20392335.428164 20660929.868399 20314661.044016 20605966.97213 20167823.728383 20945859.603952 19286241.534105"
bothTestSameTim-613-20221223-16:34:00-12152,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012126311298 0.02397643901 0.035808566722 0.04746467847 0.059323806182 0.070948933894 0.082709061606 0.094401173354 0.10634631703 0.117813428778 0.12961855649 0.141378684202 0.153174811914 0.164632923662 0.176596067338 0.188234179086 0.200021306798 0.21181743451 0.223415562222 0.23508067397 0.246998817646 0.258663929394 0.270262057106 0.282067184818 0.29391731253 0.305573424278 0.31734255199 0.328922679702 0.34058779145 0.352532935126 0.364225046874 0.375823174586 0.387673302298 0.39954143001 0.411197541758 0.422944685434 0.434636797182 0.446459924894 0.458265052606 0.470061180318 0.481492292066 0.493455435742 0.50512954749 0.516961675202 0.528577802914 0.540409930626 0.552093042374 0.56398418605 0.575415297798 0.58720242551 0.598971553222 0.61062766497 0.622432792682 0.634030920394 0.645800048106 0.657456159854 0.66939230353 0.680877415278 0.69269154299 0.704478670702 0.716301798414 0.727732910162 0.739642053838 0.751262165586 0.763049293298 0.77480942101 0.786380548722 0.79801866047 0.809945804146 0.821646915894 0.833227043606 0.845014171318 0.85680129903 0.868466410778 0.88027153849 0.891833666202 0.90352577795 0.915470921626 0.927118033374 0.938689161086 0.950485288798 0.96230841651 0.974009528258 0.985720671934 0.997394783682 1","19791673.997317 20252946.283183 20283756.72083 20590056.546187 20237576.137843 20644934.485516 20407941.637837 20526659.783341 20091847.072732 20929420.177828 20330148.546893 20407941.637837 20345659.682529 20945859.603952 20061616.452996 20621902.005817 20361194.505059 20345659.682529 20692995.10745 20574170.671031 20137364.217491 20574170.671031 20692995.10745 20330148.546893 20252946.283183 20590056.546187 20392335.428164 20725160.030083 20574170.671031 20091847.072732 20526659.783341 20692995.10745 20252946.283183 20222229.303897 20590056.546187 20430498.393438 20526659.783341 20299197.11993 20330148.546893 20345659.682529 20995333.200377 20061616.452996 20558309.28988 20283756.72083 20660929.868399 20283756.72083 20542472.346127 20183088.064472 20995333.200377 20361194.505059 20392335.428164 20590056.546187 20330148.546893 20692995.10745 20392335.428164 20590056.546187 20106996.573991 20896618.619474 20314661.044016 20361194.505059 20299197.11993 20995333.200377 20152582.463478 20653846.125129 20361194.505059 20407941.637837 20741280.018118 20621902.005817 20122168.938313 20510871.545263 20725160.030083 20361194.505059 20361194.505059 20574170.671031 20330148.546893 20757425.101862 20526659.783341 20091847.072732 20605966.97213 20741280.018118 20345659.682529 20299197.11993 20510871.545263 20493301.648398 20558309.28988 18424573.678722"
bothTestSameTim-614-20221223-16:34:00-7728,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012162311298 0.02396743901 0.035790566722 0.04743767847 0.059242806182 0.070831933894 0.082655061606 0.094311173354 0.10628331703 0.117687428778 0.12945655649 0.141288684202 0.153084811914 0.164542923662 0.176497067338 0.188189179086 0.200003306798 0.21181743451 0.223379562222 0.23500867397 0.246962817646 0.258645929394 0.270217057106 0.281986184818 0.29380931253 0.305483424278 0.31729755199 0.328922679702 0.34061479145 0.352577935126 0.364234046874 0.375823174586 0.387628302298 0.39944243001 0.411161541758 0.422899685434 0.434582797182 0.446369924894 0.458184052606 0.469980180318 0.481438292066 0.493356435742 0.50506654749 0.516862675202 0.528514802914 0.540301930626 0.551958042374 0.56385818605 0.575316297798 0.58712142551 0.598872553222 0.61051066497 0.622315792682 0.633958920394 0.645773048106 0.657456159854 0.66936530353 0.680805415278 0.69265554299 0.704442670702 0.716238798414 0.727723910162 0.739714053838 0.751343165586 0.763139293298 0.77498042101 0.786542548722 0.79819866047 0.810143804146 0.821862915894 0.833443043606 0.845239171318 0.85706229903 0.868754410778 0.88055053849 0.892148666202 0.90379577795 0.915704921626 0.927325033374 0.938896161086 0.950701288798 0.96246141651 0.974126528258 0.985882671934 0.997574783682 1","19733091.360642 20330148.546893 20299197.11993 20605966.97213 20330148.546893 20709065.079289 20299197.11993 20590056.546187 20046535.231708 21045041.060922 20392335.428164 20283756.72083 20345659.682529 20945859.603952 20076720.382895 20526659.783341 20314661.044016 20314661.044016 20757425.101862 20637861.70438 20076720.382895 20542472.346127 20741280.018118 20392335.428164 20299197.11993 20558309.28988 20314661.044016 20644934.485516 20526659.783341 20061616.452996 20590056.546187 20709065.079289 20330148.546893 20314661.044016 20479367.819063 20446163.092271 20542472.346127 20361194.505059 20314661.044016 20345659.682529 20945859.603952 20137364.217491 20495107.575809 20345659.682529 20597096.593169 20361194.505059 20590056.546187 20167823.728383 20945859.603952 20330148.546893 20423571.7526 20621902.005817 20330148.546893 20613017.905201 20314661.044016 20542472.346127 20152582.463478 20978816.054131 20252946.283183 20361194.505059 20345659.682529 20896618.619474 20016440.710414 20637861.70438 20345659.682529 20268339.793074 20757425.101862 20590056.546187 20091847.072732 20479367.819063 20725160.030083 20345659.682529 20299197.11993 20526659.783341 20345659.682529 20692995.10745 20605966.97213 20152582.463478 20653846.125129 20741280.018118 20330148.546893 20407941.637837 20574170.671031 20414857.67905 20526659.783341 18802446.471086"
bothTestSameTim-615-20221223-16:34:00-12972,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.013338790218 0.02516191793 0.036949045642 0.048556173354 0.060203285102 0.072157428778 0.083858540526 0.095447668238 0.10724379595 0.119003923662 0.13064203541 0.142465163122 0.154081290834 0.165746402582 0.177673546258 0.189293658006 0.200900785718 0.21269691343 0.224538041142 0.23618515289 0.247905296566 0.259561408314 0.271357536026 0.283153663738 0.29494079145 0.306434903198 0.318353046874 0.330009158622 0.341823286334 0.353430414046 0.365262541758 0.376927653506 0.388845797182 0.40033090893 0.412091036642 0.423824164354 0.435525276102 0.447312403814 0.458865531526 0.470625659238 0.482344770986 0.494262914662 0.50575702641 0.517634154122 0.529448281834 0.541181409546 0.552648521294 0.56461166497 0.576249776718 0.58808190443 0.599842032142 0.611467159854 0.623132271602 0.635050415278 0.646751527026 0.658331654738 0.67012778245 0.681986910162 0.69364302191 0.705466149622 0.717055277334 0.728729389082 0.740656532758 0.752321644506 0.763901772218 0.77570689993 0.787503027642 0.79919513939 0.810942283066 0.822625394814 0.834439522526 0.846208650238 0.85804077795 0.869525889698 0.881489033374 0.893145145122 0.904923272834 0.916494400546 0.928326528258 0.940009640006 0.951891783682 0.96333189543 0.975119023142 0.986951150854 0.998598262602 1","17992636.219448 20299197.11993 20361194.505059 20676950.056462 20605966.97213 20076720.382895 20510871.545263 20709065.079289 20345659.682529 20407941.637837 20621902.005817 20299197.11993 20660929.868399 20574170.671031 20122168.938313 20653846.125129 20676950.056462 20345659.682529 20268339.793074 20605966.97213 20477564.664285 20590056.546187 20345659.682529 20345659.682529 20361194.505059 20880256.366201 20137364.217491 20590056.546187 20314661.044016 20676950.056462 20283756.72083 20574170.671031 20137364.217491 20896618.619474 20407941.637837 20454903.917439 20510871.545263 20361194.505059 20773595.339963 20407941.637837 20479367.819063 20137364.217491 20880256.366201 20206905.728354 20314661.044016 20454903.917439 20929420.177828 20061616.452996 20621902.005817 20283756.72083 20407941.637837 20644934.485516 20574170.671031 20137364.217491 20510871.545263 20725160.030083 20345659.682529 20237576.137843 20590056.546187 20299197.11993 20709065.079289 20558309.28988 20122168.938313 20574170.671031 20725160.030083 20330148.546893 20345659.682529 20526659.783341 20430498.393438 20542472.346127 20314661.044016 20392335.428164 20283756.72083 20896618.619474 20061616.452996 20590056.546187 20376753.068782 20741280.018118 20283756.72083 20542472.346127 20198375.524171 20978816.054131 20361194.505059 20283756.72083 20605966.97213 18833770.175261"
bothTestSameTim-616-20221223-16:34:00-14972,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012704470938 0.02427559865 0.036089726362 0.047930854074 0.059613965822 0.071428093534 0.082999221246 0.094646332994 0.10655547667 0.118229588418 0.12979171613 0.141542843842 0.153347971554 0.165013083302 0.176742226978 0.188389338726 0.200230466438 0.21203559415 0.223831721862 0.23527183361 0.247198977286 0.258828089034 0.270615216746 0.282159344458 0.29395547217 0.305575583918 0.317565727594 0.329041839342 0.340855967054 0.352634094766 0.364335206514 0.376167334226 0.387756461938 0.39956158965 0.411253701398 0.423207845074 0.434683956822 0.446507084534 0.458258212246 0.470063339958 0.481503451706 0.493448595382 0.50508670713 0.516927834842 0.528741962554 0.540358090266 0.552005202014 0.56397734569 0.575597457438 0.58717758515 0.598955712862 0.610751840574 0.622398952322 0.634177080034 0.645739207746 0.657413319494 0.66934046317 0.681014574918 0.69256770263 0.704372830342 0.716168958054 0.727879069802 0.739590213478 0.751255325226 0.763069452938 0.77488358065 0.786724708362 0.79816482011 0.810073963786 0.821739075534 0.833526203246 0.845124330958 0.85692045867 0.868594570418 0.880530714094 0.891961825842 0.903793953554 0.915581081266 0.927291193014 0.939096320726 0.950721448438 0.96250857615 0.974137687898 0.986037831574 0.997450943322 1","18890987.367458 20741280.018118 20314661.044016 20268339.793074 20542472.346127 20314661.044016 20741280.018118 20605966.97213 20152582.463478 20558309.28988 20757425.101862 20423571.7526 20330148.546893 20574170.671031 20461851.830759 20605966.97213 20268339.793074 20330148.546893 20345659.682529 20978816.054131 20122168.938313 20637861.70438 20361194.505059 20789790.791254 20345659.682529 20653846.125129 20016440.710414 20913006.536541 20314661.044016 20376753.068782 20510871.545263 20283756.72083 20709065.079289 20330148.546893 20526659.783341 20076720.382895 20913006.536541 20299197.11993 20423571.7526 20330148.546893 20978816.054131 20091847.072732 20621902.005817 20268339.793074 20314661.044016 20660929.868399 20605966.97213 20046535.231708 20653846.125129 20725160.030083 20376753.068782 20345659.682529 20605966.97213 20376753.068782 20757425.101862 20558309.28988 20122168.938313 20558309.28988 20773595.339963 20330148.546893 20345659.682529 20495107.575809 20493301.648398 20574170.671031 20314661.044016 20314661.044016 20268339.793074 20978816.054131 20152582.463478 20574170.671031 20361194.505059 20692995.10745 20345659.682529 20558309.28988 20106996.573991 20995333.200377 20283756.72083 20361194.505059 20495107.575809 20330148.546893 20644934.485516 20361194.505059 20637861.70438 20167823.728383 21028445.642097 18830495.380613"
bothTestSameTim-617-20221223-16:34:01-4704,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.012135311298 0.02394043901 0.035754566722 0.04741967847 0.059224806182 0.070831933894 0.082637061606 0.094302173354 0.10622931703 0.117705428778 0.12951955649 0.141297684202 0.153075811914 0.164551923662 0.176497067338 0.188162179086 0.199967306798 0.21176343451 0.223352562222 0.23498167397 0.246935817646 0.258618929394 0.270235057106 0.282040184818 0.29385431253 0.305492424278 0.31727955199 0.328895679702 0.34054279145 0.352505935126 0.364126046874 0.375697174586 0.387493302298 0.39928043001 0.410936541758 0.422701685434 0.434348797182 0.446180924894 0.457995052606 0.469791180318 0.481249292066 0.493230435742 0.50489554749 0.516682675202 0.528298802914 0.540076930626 0.551733042374 0.56363318605 0.575073297798 0.58686942551 0.598674553222 0.61034866497 0.622171792682 0.633778920394 0.645530048106 0.657222159854 0.66914030353 0.680616415278 0.69241254299 0.704235670702 0.716031798414 0.727462910162 0.739417053838 0.751100165586 0.762905293298 0.77471042101 0.786281548722 0.79796466047 0.809900804146 0.821574915894 0.833146043606 0.844969171318 0.85677429903 0.868475410778 0.88025353849 0.891824666202 0.90350777795 0.915443921626 0.927136033374 0.938734161086 0.950557288798 0.96233541651 0.973973528258 0.985729671934 0.997376783682 1","19776995.752845 20330148.546893 20314661.044016 20574170.671031 20330148.546893 20676950.056462 20330148.546893 20574170.671031 20122168.938313 20913006.536541 20314661.044016 20376753.068782 20376753.068782 20913006.536541 20091847.072732 20574170.671031 20330148.546893 20345659.682529 20709065.079289 20637861.70438 20076720.382895 20542472.346127 20660929.868399 20330148.546893 20314661.044016 20621902.005817 20361194.505059 20660929.868399 20605966.97213 20061616.452996 20653846.125129 20741280.018118 20345659.682529 20361194.505059 20590056.546187 20399240.894064 20605966.97213 20283756.72083 20314661.044016 20345659.682529 20945859.603952 20031476.667854 20574170.671031 20361194.505059 20660929.868399 20376753.068782 20590056.546187 20167823.728383 20978816.054131 20345659.682529 20330148.546893 20558309.28988 20299197.11993 20676950.056462 20423571.7526 20526659.783341 20137364.217491 20913006.536541 20345659.682529 20299197.11993 20345659.682529 20995333.200377 20076720.382895 20542472.346127 20330148.546893 20330148.546893 20741280.018118 20542472.346127 20106996.573991 20558309.28988 20741280.018118 20299197.11993 20330148.546893 20510871.545263 20376753.068782 20741280.018118 20542472.346127 20106996.573991 20526659.783341 20692995.10745 20299197.11993 20376753.068782 20621902.005817 20414857.67905 20605966.97213 18298147.838832"
